fonte,tipo_fonte,issn,isbn,ano,indexado,metodo
2021 62nd International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS),conferencia,,978-1-6654-0615-4,2021,True,ISBN
2025 IEEE Conference on Artificial Intelligence (CAI),conferencia,,979-8-3315-2400-5,2025,True,ISBN
2023 International Conference on Sustainable Communication Networks and Application (ICSCNA),conferencia,,979-8-3503-1398-7,2023,True,ISBN
2025 Seventh International Conference on Computational Intelligence andCommunication Technologies (CCICT),conferencia,,979-8-3315-1135-7,2025,True,ISBN
2025 2nd International Conference on Trends in Engineering Systems and Technologies (ICTEST),conferencia,,979-8-3315-0537-0,2025,True,ISBN
2025 8th International Conference on Computer Information Science and Application Technology (CISAT),conferencia,,979-8-3315-3890-3,2025,True,ISBN
2025 7th International Conference on Innovative Data Communication Technologies and Application (ICIDCA),conferencia,,979-8-3315-1414-3,2025,True,ISBN
2022 IEEE Power & Energy Society General Meeting (PESGM),conferencia,1944-9933,978-1-6654-0823-3,2022,True,ISBN
"2024 International Conference on Communication, Computing and Internet of Things (IC3IoT)",conferencia,,979-8-3503-5268-9,2024,True,ISBN
2013 IEEE Ninth World Congress on Services,conferencia,2378-3818,978-0-7695-5024-4,2013,False,
"2014 18th International Conference on System Theory, Control and Computing (ICSTCC)",conferencia,,978-1-4799-4601-3,2014,True,ISBN
2025 IEEE International Conference on Emerging Trends in Engineering and Computing (ETECOM),conferencia,,979-8-3315-6616-6,2025,True,ISBN
2025 6th International Conference on Artificial Intelligence and Data Sciences (AiDAS),conferencia,,979-8-3315-8603-4,2025,True,ISBN
2025 IEEE 5th International Conference on Data Science and Computer Application (ICDSCA),conferencia,,979-8-3315-9904-1,2025,True,ISBN
"2025 International Conference on Sustainability, Innovation & Technology (ICSIT)",conferencia,,979-8-3315-3549-0,2025,True,ISBN
2025 Global Conference in Emerging Technology (GINOTECH),conferencia,,979-8-3315-0775-6,2025,True,ISBN
2025 4th International Conference on Sentiment Analysis and Deep Learning (ICSADL),conferencia,,979-8-3315-2392-3,2025,True,ISBN
2022 2nd International Conference of Smart Systems and Emerging Technologies (SMARTTECH),conferencia,,978-1-6654-0973-5,2022,True,ISBN
"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",conferencia,,979-8-3315-3562-9,2025,True,ISBN
2019 International Multi-Conference on Industrial Engineering and Modern Technologies (FarEastCon),conferencia,,978-1-7281-0061-6,2019,True,ISBN
"2024 IEEE 6th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",conferencia,2693-2776,979-8-3503-1653-7,2024,True,TITULO_FUZZY_ANO(100)
2024 2nd International Symposium on Information Technology and Digital Innovation (ISITDI),conferencia,,979-8-3503-8924-1,2024,True,ISBN
4th International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS 2025),conferencia,,978-1-80705-020-7,2025,False,
2025 International Conference on Vehicular Technology and Transportation Systems (ICVTTS),conferencia,,979-8-3315-6522-0,2025,True,ISBN
"2025 IEEE International Conference on Sensing, Diagnostics, Prognostics, and Control",conferencia,,979-8-3315-7739-1,2025,True,ISBN
2024 6th International Conference on Applied Machine Learning (ICAML),conferencia,,979-8-3503-8022-4,2024,True,ISBN
"2023 2nd International Conference on 3D Immersion, Interaction and Multi-sensory Experiences (ICDIIME)",conferencia,,979-8-3503-2381-8,2023,True,ISBN
NAECON 2014 - IEEE National Aerospace and Electronics Conference,conferencia,2379-2027,978-1-4799-4689-1,2014,True,ISBN
2025 6th International Conference on Data Intelligence and Cognitive Informatics (ICDICI),conferencia,,979-8-3315-0313-0,2025,True,ISBN
2021 International Conference on Computational Science and Computational Intelligence (CSCI),conferencia,,978-1-6654-5841-2,2021,True,ISBN
IEEE Communications Magazine,periodico,1558-1896,,2025,True,ISSN
SoutheastCon 2025,conferencia,1558-058X,979-8-3315-0484-7,2025,True,ISBN
2017 5th IEEE International Conference on Models and Technologies for Intelligent Transportation Systems (MT-ITS),conferencia,,978-1-5090-6484-7,2017,True,ISBN
ICC 2025 - IEEE International Conference on Communications,conferencia,1938-1883,979-8-3315-0521-9,2025,True,ISBN
IEEE Transactions on AgriFood Electronics,periodico,2771-9529,,2025,False,
2023 8th International Conference on Information Systems Engineering (ICISE),conferencia,2643-7309,979-8-3503-0700-9,2023,True,ISBN
2021 7th International Symposium on Mechatronics and Industrial Informatics (ISMII),conferencia,,978-1-6654-1290-2,2021,False,
"2025 4th International Conference on Energy, Power and Electrical Technology (ICEPET)",conferencia,,979-8-3315-4291-7,2025,True,ISBN
IT Professional,periodico,1941-045X,,2025,True,ISSN
2010 Sixth International Conference on Natural Computation,conferencia,2157-9563,978-1-4244-5961-2,2010,False,
2023 IEEE 5th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),conferencia,,979-8-3503-1060-3,2023,True,ISBN
2023 Second International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),conferencia,,979-8-3503-2579-9,2023,True,ISBN
"2024 IEEE 2nd International Conference on Sensors, Electronics and Computer Engineering (ICSECE)",conferencia,,979-8-3503-7364-6,2024,True,ISBN
"2024 Eighth International Conference on Parallel, Distributed and Grid Computing (PDGC)",conferencia,2573-3079,979-8-3315-2134-9,2024,False,
2024 IEEE 65th International Scientific Conference on Information Technology and Management Science of Riga Technical University (ITMS),conferencia,2771-6937,979-8-3315-3383-0,2024,True,ISBN
2024 9th International Conference on Information Technology Research (ICITR),conferencia,2831-3399,979-8-3315-1142-5,2024,True,ISBN
"2024 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)",conferencia,,979-8-3315-0884-5,2024,True,ISBN
2025 IEEE 12th International Conference on Computational Cybernetics and Cyber-Medical Systems (ICCC),conferencia,2689-7768,979-8-3315-0246-1,2025,False,
2019 IEEE International Conference on Real-time Computing and Robotics (RCAR),conferencia,,978-1-7281-3726-1,2019,True,ISBN
2018 China International Conference on Electricity Distribution (CICED),conferencia,2161-749X,978-1-5386-6775-0,2018,True,ISBN
"2025 5th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)",conferencia,,979-8-3315-3297-0,2025,True,ISBN
2025 10th International Conference on Business and Industrial Research (ICBIR),conferencia,,979-8-3315-0248-5,2025,True,ISBN
Living in the Internet of Things (IoT 2019),conferencia,,978-1-83953-089-0,2019,False,
"2024 13th International Conference on Control, Automation and Information Sciences (ICCAIS)",conferencia,2475-7896,979-8-3315-4204-7,2024,True,ISBN
2024 International Conference on Distributed Computing and Optimization Techniques (ICDCOT),conferencia,,979-8-3503-8295-2,2024,True,ISBN
"2025 International Conference on Electronics and Computing, Communication Networking Automation Technologies (ICEC2NT)",conferencia,,979-8-3315-2345-9,2025,True,ISBN
2025 2nd International Symposium on IoT and Intelligent Robotics (IoTIR),conferencia,,979-8-3315-1493-8,2025,True,ISBN
2024 4th International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),conferencia,,979-8-3503-6016-5,2024,True,ISBN
"2025 IEEE 12th Workshop on Advances in Information, Electronic and Electrical Engineering (AIEEE)",conferencia,2689-7342,978-1-6654-9688-9,2025,True,ISBN
2022 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),conferencia,,978-1-6654-8090-1,2022,True,ISBN
2024 7th International Conference on Computer Information Science and Application Technology (CISAT),conferencia,,979-8-3503-7510-7,2024,True,ISBN
2011 6th IEEE Conference on Industrial Electronics and Applications,conferencia,2158-2297,978-1-4244-8756-1,2011,False,
2020 Chinese Control And Decision Conference (CCDC),conferencia,1948-9447,978-1-7281-5855-6,2020,False,
IEEE Vehicular Technology Magazine,periodico,1556-6080,,2025,True,ISSN
2024 IEEE 13th International Conference on Communication Systems and Network Technologies (CSNT),conferencia,2473-5655,979-8-3503-0546-3,2024,True,ISBN
2016 IEEE 17th International Conference on Information Reuse and Integration (IRI),conferencia,,978-1-5090-3207-5,2016,True,ISBN
"2025 7th International Conference on Internet of Things, Automation and Artificial Intelligence (IoTAAI)",conferencia,,979-8-3315-9417-6,2025,True,ISBN
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,periodico,2151-1535,,2025,True,ISSN
2024 IEEE 3rd World Conference on Applied Intelligence and Computing (AIC),conferencia,,979-8-3503-8459-8,2024,True,ISBN
2025 International Joint Conference on Neural Networks (IJCNN),conferencia,2161-4407,979-8-3315-1042-8,2025,True,ISBN
"2024 5th International Conference on Artificial Intelligence, Robotics and Control (AIRC)",conferencia,,979-8-3503-8507-6,2024,True,ISBN
2025 6th International Conference on IoT Based Control Networks and Intelligent Systems (ICICNIS),conferencia,,979-8-3315-1520-1,2025,True,ISBN
2024 IEEE/ACS 21st International Conference on Computer Systems and Applications (AICCSA),conferencia,2161-5330,979-8-3315-1824-0,2024,True,ISBN
"2025 2nd International Conference on Computational Intelligence, Communication Technology and Networking (CICTN)",conferencia,,979-8-3315-3038-9,2025,True,ISBN
"2025 International Conference on Information, Implementation, and Innovation in Technology (I2ITCON)",conferencia,,979-8-3315-3482-0,2025,True,ISBN
2025 5th International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS),conferencia,,979-8-3315-5284-8,2025,True,ISBN
"2025 12th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",conferencia,2769-2884,979-8-3315-5421-7,2025,True,ISBN
IEEE Network,periodico,1558-156X,,2025,True,ISSN
"2025 International Conference in Advances in Power, Signal, and Information Technology (APSIT)",conferencia,,979-8-3315-2989-5,2025,True,ISBN
2024 7th International Conference on Universal Village (UV),conferencia,,979-8-3315-3151-5,2024,True,ISBN
2025 International Conference on Metaverse and Current Trends in Computing (ICMCTC),conferencia,,979-8-3315-3821-7,2025,True,ISBN
"2023 International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)",conferencia,,979-8-3503-0570-8,2023,True,ISBN
2024 9th International Conference on Communication and Electronics Systems (ICCES),conferencia,,979-8-3503-7797-2,2024,True,ISBN
2024 5th International Conference on Information Science and Education (ICISE-IE),conferencia,,979-8-3315-0676-6,2024,True,ISBN
2025 Tenth International Conference on Informatics and Computing (ICIC),conferencia,,979-8-3315-7583-0,2025,True,ISBN
2025 IEEE 26th Latin American Test Symposium (LATS),conferencia,2373-0862,978-1-6654-7763-5,2025,True,ISBN
2025 International Conference on Intelligent and Secure Engineering Solutions (CISES),conferencia,,979-8-3315-7349-2,2025,True,ISBN
"2025 12th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",conferencia,,979-8-3315-6569-5,2025,True,ISBN
2025 3rd International Conference on Disruptive Technologies (ICDT),conferencia,,979-8-3315-1958-2,2025,True,ISBN
"2024 31st IEEE International Conference on Electronics, Circuits and Systems (ICECS)",conferencia,2995-0589,979-8-3503-7720-0,2024,True,ISBN
2025 International Conference on Computing Technologies & Data Communication (ICCTDC),conferencia,,979-8-3315-2798-3,2025,True,ISBN
2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT),conferencia,2473-7674,979-8-3503-3509-5,2023,True,ISBN
"2024 Third International Conference on Artificial Intelligence, Computational Electronics and Communication System (AICECS)",conferencia,,979-8-3503-9124-4,2024,True,ISBN
"2025 16th International Conference on E-Education, E-Business, E-Management and E-Learning (IC4e)",conferencia,,979-8-3315-1155-5,2025,True,ISBN
IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,conferencia,2153-7003,979-8-3503-6032-5,2024,True,ISSN_SERIE
2025 8th International Conference on Information and Computer Technologies (ICICT),conferencia,2769-4542,979-8-3315-0518-9,2025,True,ISBN
IECON 2024 - 50th Annual Conference of the IEEE Industrial Electronics Society,conferencia,,978-1-6654-6454-3,2024,True,ISBN
2023 IEEE 7th Conference on Energy Internet and Energy System Integration (EI2),conferencia,,979-8-3503-4509-4,2023,True,ISBN
2025 IEEE 23rd World Symposium on Applied Machine Intelligence and Informatics (SAMI),conferencia,2767-9438,979-8-3503-7936-5,2025,False,
2025 International Conference on Computational Innovations and Engineering Sustainability (ICCIES),conferencia,,979-8-3315-3669-5,2025,True,ISBN
2025 International Conference on Future Technologies (ICFT),conferencia,,979-8-3315-6815-3,2025,True,ISBN
"2024 4th International Conference on Computer, Communication, Control & Information Technology (C3IT)",conferencia,,979-8-3503-8912-8,2024,True,ISBN
2020 International Conference on Computer Communication and Network Security (CCNS),conferencia,,978-1-7281-4349-1,2020,True,ISBN
2024 2nd International Conference on Sustainable Computing and Smart Systems (ICSCSS),conferencia,,979-8-3503-7999-0,2024,True,ISBN
IEEE Transactions on Vehicular Technology,periodico,1939-9359,,2023,True,ISSN
"2025 8th International Conference on Circuit, Power & Computing Technologies (ICCPCT)",conferencia,,979-8-3315-4317-4,2025,True,ISBN
"2024 International Conference on Communication, Computing and Energy Efficient Technologies (I3CEET)",conferencia,,979-8-3315-4158-3,2024,True,ISBN
2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),conferencia,1558-4615,978-1-4577-0216-7,2013,False,
IEEE Transactions on Geoscience and Remote Sensing,periodico,1558-0644,,2025,True,ISSN
2025 10th International Conference on Communication and Electronics Systems (ICCES),conferencia,,979-8-3315-9756-6,2025,True,ISBN
2025 Interdisciplinary Conference on Electrics and Computer (INTCEC),conferencia,,979-8-3315-0169-3,2025,True,ISBN
2024 IEEE 99th Vehicular Technology Conference (VTC2024-Spring),conferencia,2577-2465,979-8-3503-8741-4,2024,True,ISBN
2016 China International Conference on Electricity Distribution (CICED),conferencia,2161-749X,978-1-4673-9070-5,2016,True,ISSN_SERIE
IEEE Transactions on Instrumentation and Measurement,periodico,1557-9662,,2023,True,ISSN
2024 IEEE 5th International Conference on Electro-Computing Technologies for Humanity (NIGERCON),conferencia,2377-2697,979-8-3315-4255-9,2024,False,
2024 IEEE International Conference on Big Data & Machine Learning (ICBDML),conferencia,,979-8-3503-7410-0,2024,True,ISBN
2025 4th International Conference on Creative Communication and Innovative Technology (ICCIT),conferencia,,979-8-3315-9429-9,2025,True,ISBN
2013 IEEE 27th International Conference on Advanced Information Networking and Applications (AINA),conferencia,1550-445X,978-0-7695-4953-8,2013,True,ISSN_SERIE
2025 5th International Conference on Sensors and Information Technology,conferencia,,979-8-3315-4288-7,2025,True,ISBN
"2024 IEEE International Conference on Engineering, Technology, and Innovation (ICE/ITMC)",conferencia,2693-8855,979-8-3503-6243-5,2024,True,ISBN
2025 12th International Conference on Computing for Sustainable Global Development (INDIACom),conferencia,,978-93-80544-60-1,2025,True,ISBN
2024 OPJU International Technology Conference (OTCON) on Smart Computing for Innovation and Advancement in Industry 4.0,conferencia,,979-8-3503-7378-3,2024,True,ISBN
2024 IEEE 22nd International Conference on Industrial Informatics (INDIN),conferencia,2378-363X,979-8-3315-2747-1,2024,True,ISBN
2025 Sixth International Conference on Advances in Computational Tools for Engineering Applications (ACTEA),conferencia,2993-3765,979-8-3315-0243-0,2025,True,ISBN
IEEE Transactions on Intelligent Vehicles,periodico,2379-8904,,2023,True,TITULO_EXATO
2024 10th International Conference on Communication and Signal Processing (ICCSP),conferencia,2836-1873,979-8-3503-5306-8,2024,True,ISBN
2025 IEEE Green Technologies Conference (GreenTech),conferencia,2166-5478,979-8-3315-2018-2,2025,True,ISBN
2024 International Conference on Sustainable Power & Energy (ICSPE),conferencia,,979-8-3503-6605-1,2024,True,ISBN
2025 International Conference on Sustainable Energy Technologies and Computational Intelligence (SETCOM),conferencia,,979-8-3315-2054-0,2025,True,ISBN
"2024 2nd DMIHER International Conference on Artificial Intelligence in Healthcare, Education and Industry (IDICAIEI)",conferencia,,979-8-3315-2871-3,2024,True,ISBN
2023 7th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI),conferencia,,979-8-3503-1926-2,2023,True,ISBN
2018 IEEE/AIAA 37th Digital Avionics Systems Conference (DASC),conferencia,2155-7209,978-1-5386-4112-5,2018,True,ISBN
2024 IEEE International Symposium on Safety Security Rescue Robotics (SSRR),conferencia,2475-8426,979-8-3315-1095-4,2024,True,ISBN
2024 International Conference on Advances in Modern Age Technologies for Health and Engineering Science (AMATHE),conferencia,,979-8-3503-7156-7,2024,True,ISBN
2024 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),conferencia,2156-1133,979-8-3503-8622-6,2024,True,ISBN
2024 IEEE International Conference on Robotics and Automation (ICRA),conferencia,,979-8-3503-8457-4,2024,True,ISBN
"2024 Fourth International Conference on Multimedia Processing, Communication & Information Technology (MPCIT)",conferencia,,979-8-3503-7546-6,2024,True,ISBN
"2015 IEEE International Conference on Control System, Computing and Engineering (ICCSCE)",conferencia,,978-1-4799-8252-3,2015,True,ISBN
2025 IEEE 6th International Conference in Robotics and Manufacturing Automation (ROMA),conferencia,,979-8-3315-9996-6,2025,True,ISBN
2024 12th International Conference on Smart Grid (icSmartGrid),conferencia,,979-8-3503-6161-2,2024,True,ISBN
2024 Argentine Conference on Electronics (CAE),conferencia,2836-1024,979-8-3503-0508-1,2024,True,ISBN
2025 International Conference on IC Design and Technology (ICICDT),conferencia,2691-0462,979-8-3315-2461-6,2025,True,ISBN
2025 IEEE 9th International Conference on Software Engineering & Computer Systems (ICSECS),conferencia,,979-8-3315-4441-6,2025,True,ISBN
2023 IEEE Smart World Congress (SWC),conferencia,,979-8-3503-1980-4,2023,True,ISBN
2024 10th International Conference on Computer and Communications (ICCC),conferencia,2837-7109,979-8-3315-0707-7,2024,False,
2023 IEEE International Conference on Computer Vision and Machine Intelligence (CVMI),conferencia,,979-8-3503-0514-2,2023,True,ISBN
2024 IEEE International Conference on Electro Information Technology (eIT),conferencia,2154-0373,979-8-3503-3064-9,2024,True,ISBN
"2025 Third International Conference on Cyber Physical Systems, Power Electronics and Electric Vehicles (ICPEEV)",conferencia,,979-8-3315-8606-5,2025,True,ISBN
"2024 8th International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)",conferencia,2768-0673,979-8-3503-7642-5,2024,True,ISBN
IEEE Transactions on Cognitive Communications and Networking,periodico,2332-7731,,2026,True,ISSN
2021 International Conference on Decision Aid Sciences and Application (DASA),conferencia,,978-1-6654-1634-4,2021,True,ISBN
2019 IEEE 5th International Workshop on Metrology for AeroSpace (MetroAeroSpace),conferencia,2575-7490,978-1-7281-1344-9,2019,True,ISBN
2025 International Conference on Automation Technology (Automation),conferencia,,978-1-6654-7792-5,2025,True,ISBN
IEEE Transactions on Cybernetics,periodico,2168-2275,,2021,True,ISSN
IEEE Transactions on Artificial Intelligence,periodico,2691-4581,,2025,True,ISSN
2019 First International Conference on Digital Data Processing (DDP),conferencia,,978-1-7281-5363-6,2019,True,ISBN
"2025 IEEE 6th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)",conferencia,,979-8-3315-2228-5,2025,True,ISBN
2025 MIPRO 48th ICT and Electronics Convention,conferencia,1847-3938,979-8-3315-3597-1,2025,True,ISBN
2024 1st International Conference on Logistics (ICL),conferencia,,979-8-3315-1884-4,2024,True,ISBN
2025 International Conference on Power Electronics and Electric Drives (PEED),conferencia,,979-8-3503-7966-2,2025,True,ISBN
2025 8th International Conference on Computing Methodologies and Communication (ICCMC),conferencia,,979-8-3315-1211-8,2025,True,ISBN
2025 6th International Conference on Energy Power and Automation Engineering (ICEPAE),conferencia,,979-8-3315-2458-6,2025,True,ISBN
"2025 IEEE 22nd International Conference on Smart Communities: Improving Quality of Life using AI, Robotics and IoT (HONET)",conferencia,1949-4106,979-8-3315-7643-1,2025,True,ISBN
2025 IEEE Guwahati Subsection Conference (GCON),conferencia,,979-8-3315-1345-0,2025,True,ISBN
"2024 International Conference on Artificial Intelligence, Deep Learning and Neural Networks (AIDLNN)",conferencia,,979-8-3315-2081-6,2024,True,ISBN
2025 International Conference on Computing Technologies (ICOCT),conferencia,,979-8-3315-2794-5,2025,True,TITULO_FUZZY_ANO(96)
"2024 IEEE International Conference on Technology Management, Operations and Decisions (ICTMOD)",conferencia,2159-5119,979-8-3503-6735-5,2024,True,ISBN
2024 IEEE Cyber Science and Technology Congress (CyberSciTech),conferencia,,979-8-3315-3209-3,2024,True,ISBN
2024 International Conference on Emerging Research in Computational Science (ICERCS),conferencia,,979-8-3315-3496-7,2024,True,TITULO_FUZZY_ANO(98)
"2025 5th International Conference on Electronics, Circuits and Information Engineering (ECIE)",conferencia,,979-8-3315-1401-3,2025,True,ISBN
2025 IEEE World AI IoT Congress (AIIoT),conferencia,,979-8-3315-2508-8,2025,True,ISBN
"2012 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering",conferencia,,978-1-4673-0788-8,2012,False,
2011 17th IEEE Real-Time and Embedded Technology and Applications Symposium,conferencia,1545-3421,978-1-61284-326-1,2011,True,ISSN_SERIE
2023 International Conference on Electrical Engineering and Informatics (ICEEI),conferencia,2155-6830,979-8-3503-8129-0,2023,True,ISBN
2025 6th International Conference on Artificial Intelligence and Computer Engineering (ICAICE),conferencia,,979-8-3315-7496-3,2025,True,ISBN
OCEANS 2025 Brest,conferencia,,979-8-3315-3747-0,2025,True,ISBN
IEEE Transactions on Parallel and Distributed Systems,periodico,1558-2183,,2018,True,ISSN
"2025 IEEE 16th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)",conferencia,,979-8-3315-6505-3,2025,True,ISBN
2025 4th International Conference on New Energy System and Power Engineering (NESP),conferencia,,979-8-3315-2287-2,2025,True,ISBN
2025 IEEE 6th KhPI Week on Advanced Technology (KhPIWeek),conferencia,3064-9579,979-8-3503-8909-8,2025,True,ISBN
"2023 IEEE 3rd International Conference on Power, Electronics and Computer Applications (ICPECA)",conferencia,,978-1-6654-7278-4,2023,True,ISBN
"2014 Fourth International Conference on Instrumentation and Measurement, Computer, Communication and Control",conferencia,,978-1-4799-6575-5,2014,True,ISBN
2024 IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters (MetroSea),conferencia,,979-8-3503-7900-6,2024,True,ISBN
2025 14th International Conference on Renewable Energy Research and Applications (ICRERA),conferencia,2572-6013,979-8-3315-9989-8,2025,True,ISBN
2025 IEEE International Conference on Contemporary Computing and Communications (InC4),conferencia,,979-8-3315-2118-9,2025,True,ISBN
2019 International Conference on Advances in the Emerging Computing Technologies (AECT),conferencia,,978-1-7281-4452-8,2020,True,ISBN
2017 IEEE International Conference on Communications (ICC),conferencia,1938-1883,978-1-4673-8999-0,2017,True,ISBN
2025 7th Experiment@ International Conference (exp.at'25),conferencia,2376-6328,979-8-3315-7663-9,2025,True,ISBN
2019 IEEE International Smart Cities Conference (ISC2),conferencia,2687-8860,978-1-7281-0846-9,2019,True,ISBN
2025 IEEE Global Humanitarian Technology Conference (GHTC),conferencia,2473-5728,979-8-3315-9502-9,2025,True,ISBN
2023 Second International Conference On Smart Technologies For Smart Nation (SmartTechCon),conferencia,,979-8-3503-0541-8,2023,True,ISBN
"2025 IEEE 4th International Conference on Computing, Communication, Perception and Quantum Technology (CCPQT)",conferencia,,979-8-3315-2583-5,2025,True,ISBN
IGARSS 2025 - 2025 IEEE International Geoscience and Remote Sensing Symposium,conferencia,2153-7003,979-8-3315-0810-4,2025,True,ISBN
"2024 IEEE 15th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)",conferencia,,979-8-3315-4090-6,2024,True,ISBN
2025 IEEE Conference on Cloud and Big Data Computing (CBDCom),conferencia,,979-8-3315-9094-9,2025,True,ISBN
2016 12th International Conference on Intelligent Environments (IE),conferencia,2472-7571,978-1-5090-4056-8,2016,True,ISBN
"2025 International Conference on Circuit, Systems and Communication (ICCSC)",conferencia,,979-8-3315-6528-2,2025,True,ISBN
2025 International Conference on Automation and Computation (AUTOCOM),conferencia,,979-8-3315-4237-5,2025,True,ISBN
2024 10th International Conference on Electrical Energy Systems (ICEES),conferencia,2693-3934,979-8-3503-5377-8,2024,True,ISBN
"2024 International Conference on Computers, Information Processing and Advanced Education (CIPAE)",conferencia,,979-8-3315-2766-2,2024,True,ISBN
"2025 IEEE International Conference on Computation, Big-Data and Engineering (ICCBE)",conferencia,,979-8-3315-3244-4,2025,True,ISBN
"2014 IEEE International Conference on Automation, Quality and Testing, Robotics",conferencia,,978-1-4799-3732-5,2014,False,
2025 IEEE International Conference on Advances in Computing Research On Science Engineering and Technology (ACROSET),conferencia,,978-1-6654-5810-8,2025,True,ISBN
2025 IEEE 5th International Conference on Computer Communication and Artificial Intelligence (CCAI),conferencia,,979-8-3315-3567-4,2025,True,ISBN
2013 Ninth International Conference on Intelligent Information Hiding and Multimedia Signal Processing,conferencia,,978-0-7695-5120-3,2013,True,ISBN
"2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)",conferencia,2687-7767,979-8-3503-8247-1,2023,True,ISBN
2025 7th International Conference on Blockchain Computing and Applications (BCCA),conferencia,,979-8-3315-0296-6,2025,True,ISBN
2016 International Wireless Communications and Mobile Computing Conference (IWCMC),conferencia,2376-6506,978-1-5090-0304-4,2016,True,ISBN
2019 IEEE World Conference on Engineering Education (EDUNINE),conferencia,,978-1-7281-1666-2,2019,True,ISBN
2012 IEEE 19th International Conference and Workshops on Engineering of Computer-Based Systems,conferencia,,978-1-4673-0912-7,2012,False,
"2025 3rd International Conference on Intelligent Systems, Advanced Computing and Communication (ISACC)",conferencia,,979-8-3315-2389-3,2025,True,ISBN
2024 International Conference on Integration of Emerging Technologies for the Digital World (ICIETDW),conferencia,,979-8-3315-4117-0,2024,True,ISBN
2023 IEEE 12th International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),conferencia,2770-4254,979-8-3503-5805-6,2023,True,ISBN
2023 International Balkan Conference on Communications and Networking (BalkanCom),conferencia,,979-8-3503-3910-9,2023,True,ISBN
2025 International Conference on Networks and Cryptology (NETCRYPT),conferencia,,979-8-3315-2605-4,2025,True,ISBN
2024 International Radar Symposium (IRS),conferencia,2155-5753,978-83-956020-9-2,2024,True,ISBN
"2025 IEEE International Conference on Engineering, Technology, and Innovation (ICE/ITMC)",conferencia,2693-8855,979-8-3315-8534-1,2025,True,ISBN
2024 13th International Conference on System Modeling & Advancement in Research Trends (SMART),conferencia,2767-7362,979-8-3503-8058-3,2024,True,ISBN
2024 4th International Conference on Ubiquitous Computing and Intelligent Information Systems (ICUIS),conferencia,,979-8-3315-2963-5,2024,True,ISBN
Proceedings of 2011 International Conference on Electronic & Mechanical Engineering and Information Technology,conferencia,,978-1-61284-088-8,2011,False,
2024 IEEE SmartBlock4Africa,conferencia,,979-8-3503-7683-8,2024,True,ISBN
2025 6th International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV),conferencia,,979-8-3315-1175-3,2025,True,ISBN
2025 8th International Conference on Advanced Algorithms and Control Engineering (ICAACE),conferencia,,979-8-3315-3508-7,2025,True,ISBN
2015 IEEE 39th Annual Computer Software and Applications Conference,conferencia,0730-3157,978-1-4673-6564-2,2015,True,ISSN_SERIE
2025 International Conference on Emerging Smart Computing and Informatics (ESCI),conferencia,2996-1815,979-8-3315-1568-3,2025,True,ISBN
2020 52nd North American Power Symposium (NAPS),conferencia,,978-1-7281-8192-9,2021,True,ISBN
2025 Second International Conference on Cognitive Robotics and Intelligent Systems (ICC - ROBINS),conferencia,,979-8-3315-0172-3,2025,True,ISBN
"2025 International Conference on Computing, Intelligence, and Application (CIACON)",conferencia,,979-8-3315-4411-9,2025,True,ISBN
2025 2nd International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF),conferencia,,979-8-3315-6070-6,2025,True,ISBN
2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS),conferencia,,979-8-3315-0574-5,2025,True,ISBN
2019 IEEE 90th Vehicular Technology Conference (VTC2019-Fall),conferencia,2577-2465,978-1-7281-1220-6,2019,True,ISBN
